id,lesson_id,"title","description","link_to_website"
819,243,"Rubric for Evaluating elevator pitches",NULL,"https://drive.google.com/file/d/0B9jB3Ko3-fXuMERlQXNvTjlTVkE/view?usp=sharing"
841,21,"Key Resources Presentation",NULL,"https://docs.google.com/presentation/d/1zvmAgREsVP398X_cB93_eEHhTPCQRgN3YiTZwkL-kUs/edit?usp=sharing"
842,21,"Key Resources Quiz","Contact Chris Pears at cpears@paritonadvisors.com to obtain editable version of quiz","https://docs.google.com/forms/d/e/1FAIpQLSfRjaw8Cmj_UzhQx1wz5mdN-LhrtF_EH8dqv91hj3MgK34u1w/viewform"
843,141,"PPS Presentation","Get in touch with Chris Pears, cpears@apritonadvisors.com to get access to the editable version","https://docs.google.com/presentation/d/1w6898FnGTSkMWe5gFk0uYVNzON2pv9T06ik32SlliSk/edit?usp=sharing"
844,22,"Revenue Streams","Contact Chris Pears, cpears@apritonadvisors to get editable version","https://drive.google.com/file/d/1P-KlePXfPzbHpFRorr4BOgVt63ZcS3pP/view?usp=sharing"
845,22,"Revenue Streams Quiz","To get access to the editable version contact Chris Pears, cpears@apritonadvisors.com","https://docs.google.com/forms/d/e/1FAIpQLSfSHviBq8ZuRDrJFXfzymYHtmfOsgwLgoGUKtsD65873X6Czg/viewform"
846,244,"Pricing Methods Google Slides","Contact Chris Pears, cpears@apritonadvisors.com to get access to editable version","https://docs.google.com/presentation/d/18YO-qSR8E16RZwLRNpkOfTPPWZNax60E/edit#slide=id.p1"
847,23,"Value Proposition abbreviated presentation",NULL,"https://docs.google.com/presentation/d/1LenMOxnFG2QtN2Sviob596j5fcTo3brkeKNVUy23J-w/edit?usp=sharing"
878,60,"Interviewing for Empathy",NULL,"https://docs.google.com/presentation/d/1MJhKruqqCwosyLxDfJ0HgKGzkzULI8e6tuSpyJCHjjI/edit?usp=sharing"
879,60,"Gaining Empathy: classroom exercise","This exercise enables students to practice gaining empathy and understanding the customer better","https://docs.google.com/document/d/1ut_7V20Jb39BRRXlcg2ea9GXKPdu5UrTFNs4cPiohsA/edit?usp=sharing"
880,60,"Blank Empathy Map",NULL,"https://drive.google.com/file/d/0B38czYscfoGOVzJ4T29jaGc0V1k/view?usp=sharing"
881,60,"Example of completed Empathy Map for an ice cream store",NULL,"https://drive.google.com/file/d/1uhETGEJjmoZ7HTuNOajiQLp0XjliXWiO/view?usp=sharing"
882,60,"How to create an empathy map","From Stanford University Design School","http://dschool-old.stanford.edu/wp-content/themes/dschool/method-cards/empathy-map.pdf"
883,60,"Empathy Map: why and how to use it","From the Interactive Design Foundation","https://www.interaction-design.org/literature/article/empathy-map-why-and-how-to-use-it"
934,245,"Construction Month Toolkit",NULL,"https://docs.google.com/document/d/1Iq5S9qKRhruv0s6vu7abEiUAGSD0fE3wvtxIBt3M67I/edit?usp=sharing"
1012,249,"PBS video - Exploring Careers in Health Science","Lesson plan resource","https://iowa.pbslearningmedia.org/resource/stn15.sci.stem.healthcareer/exploring-careers-in-health-science/"
1013,249,"Lesson Plan:  Health Career Exploration","Lesson plan",NULL
1014,249,"HOSA PowerPoint on Health Careers","Lesson plan resource",NULL
1022,249,"Student Activity: Investigate Health Careers",NULL,"https://docs.google.com/document/d/1flsafi6i2aShWyBw6_sNXRxpzcWjY9902PAJoQLKs-o/edit?usp=sharing"
1024,249,"Student Activity: Salaries and Post-secondary Education Comparison",NULL,"https://docs.google.com/document/d/1VyyQKX6715Swrq0BP1oSE_pZlabiR0npIQGAk4LxAgQ/edit?usp=sharing"
1025,249,"Student Activity: Virtual Tour or Interview",NULL,"https://docs.google.com/document/d/1RMYVpjjg9v04VuMMOs1S-FdqjDgorHGdy82oCnvnvfM/edit?usp=sharing"
1029,249,"Healthcare Month Toolkit",NULL,NULL
1582,262,"Finishing Process",NULL,NULL
1583,262,"Forms",NULL,NULL
1584,262,"Forming 2",NULL,NULL
1585,262,"Pour in process",NULL,NULL
1619,265,"Norman Door - Human Centred Design Presentation","A presentation that can be used in presenting on human centred design","https://docs.google.com/presentation/d/0B38czYscfoGOUkN3TlRFa05yZ1U/edit?resourcekey=0-KOuxjPHsaNcMBY07ZmYeqw#slide=id.p4"
1620,265,"Norman Door Explanation Video","Youtube video explaining what the Norman door problem is","https://www.youtube.com/watch?v=yY96hTb8WgI"
1621,265,"\"Emotional Design: How to Design for Feeling\" Akna Marquez","Good article on product design with Sub section on behavioural design explains the design of the Ronnefeldt teapot","http://www.aknamarquez.com/blog/2018/designforfeeling"
1622,265,"Video: Principles of Human Centred Design","Don Norman chats about the principles of human centred design","https://youtu.be/rmM0kRf8Dbk"
