Lesson Title,Career Cluster ID,Grade IDs,Primary Course ID,Secondary Course IDs,Lesson Summary,Lesson Learning Outcomes,Lesson Educational Standards,Thumbnail Image,Featured Image,Short Description
Biomedical Treatments for psychological disorders,8,5,47,30,<p>This lesson should help students identify and describe the different biomedical treatments used in treating various psychological disorders.&nbsp;</p>,"<p>By the end of this lesson, students will:</p><ul><li>have learnt how biomedical treatments are used in the treatment of psychological disorders</li><li>be aware of how brain stimulation techniques and psychosurgery in treating specific disorders. understand some of&nbsp;the legal, ethical and professional issues of treating psychological disorders using biomedical treatments</li><li>have seen how healthy lifestyle choices might be encouraged in conjunction with biomedical treatments for psychological disorders</li></ul><p><br></p><p>An extension topic could involve drug research and the use of double-blind studies in evaluating of a drugÕs effectiveness</p>","<p><strong>APA Treatment of Psychological Disorders Content Standard 1: Perspectives on treatment</strong></p><ul><li>1.1 Explain how psychological treatments have changed over time and among cultures.</li><li>1.2 Match methods of treatment to psychological perspectives.</li><li>1.3 Explain why psychologists use a variety of treatment options.</li></ul><p><br></p><p><strong>APA Treatment of Psychological Disorders Content Standard 2: Categories of treatment and types of treatment providers</strong></p><ul><li>2.1 Identify biomedical treatments.</li><li>2.2 Identify psychological treatments.</li><li>2.3 Describe appropriate treatments for different age groups.</li><li>2.4 Evaluate the efficacy of treatments for particular disorders.</li><li>2.5 Identify other factors that improve the efficacy of treatment.</li><li>2.6 Identify treatment providers for psychological disorders and the training required for each.</li></ul><p><br></p><p><strong>APA Treatment of Psychological Disorders Content Standard 3: Legal, ethical, and professional issues in the treatment of psychological disorders</strong></p><ul><li>3.1 Identify ethical challenges involved in delivery of treatment.</li><li>3.2 Identify national and local resources available to support individuals with psychological disorders and their families (e.g., NAMI and support groups).</li></ul><p><br></p>",biomedical-treatments.jpg,biomedical-treatments.jpg,"Differentiating among psychotherapy, biomedical therapy and an eclectic approach to treatment of disorders."
Bridge Building Part 1: How do engineers design bridges to carry heavy loads?,,"4,5",34,,<p>How do we build bridges that are strong enough to withhold heavy loads traveling over them? What factors do engineers consider and what techniques do they use to ensure that bridges are strong enough to support the necessary loads?</p>,"<p>By the end of this lesson, students will:</p><ul><li>have an understanding of the approaches, techniques and math used in designing bridges to support specific loads</li><li>be shown examples of specific bridge designs that have both been successful and unsuccessful and why they were successful or&nbsp;unsuccessful (Would be good for students to see the engineering design principles behind world famous bridges)</li><li>be aware of the different types of stress placed on bridges and type of structures used to address these types of stress</li><li>understand the metrics used to measure stress on a bridge structure</li></ul><p>&nbsp;</p><p><strong>EXTENSION IF THIS LESSON IS TAUGHT IN CONJUNCTION BRIDGE BUILDING 2:</strong></p><p>Students will be presented with the toothpick bridge building challenge attached and be told that Guest instructor will come back in 2-3 weeks to review their toothpick bridges, give feedback on their design and stress test the load bearing capacity of the bridges.</p><p>&nbsp;</p><p>Resources:</p><p><a href=""https://www.youtube.com/watch?v=bp_yvCGC8Hs"" target=""_blank"">Youtube video showing stress testing of bridges built by students</a></p><p><a href=""https://docs.google.com/document/d/18ZSnajimbbF_05rfSU8FcdCqVd0066iZ5dCiiUY2TJs/edit?usp=sharing"" target=""_blank"">Competition instructions</a></p>",,bridge-part1.jpeg,bridge-part1.jpeg,How do engineers build bridges which can withstand the heavy loads of vehicles that travel over them?
Bridge Building Part 2: Testing the load bearing capacity of Bridges,,,34,,<p>How can we measure the weight&nbsp;bearing capacity of bridges to determine which bridges are the strongest?</p>,"<p><strong>NOTE: THIS LESSON IS INTENDED TO BE TAUGHT AS A FOLLOW ON TO THE FOLLOWING LESSON:&nbsp;</strong></p><p>Bridge Building Part 1: How do engineers design bridges to carry heavy loads?nnBefore the start of class students will have constructed a toothpick bridge built out of a maximum of 500 toothpicks. </p><p><br></p><p>During the lesson time, the guest instructor should:</p><ul><li>provide an overview of how engineers test the stress loading capacity of a bridge</li><li>listen and give feedback to each student team as they present the reasoning behind and process of building their bridge</li><li>explain how they would use their engineering experience in building a toothpick bridge and determining the strongest design</li><li>conduct, together with the teacher, load bearing tests on each bridge until they collapse</li><li>announce the highest load bearing bridge winner AND the most innovative design they saw on their opinion</li><li>offer concluding thoughts on the nature of engineering challenges they face in their daily work and why they enjoy their career as engineers</li></ul><p><br></p><p>Resources:<a href=""https://docs.google.com/document/d/18ZSnajimbbF_05rfSU8FcdCqVd0066iZ5dCiiUY2TJs/edit?usp=sharing"" target=""_blank"">Bridge Building Rules</a></p>",,bridge-part2.jpg,bridge-part2.jpg,How can we measure the weight  bearing capacity of bridges to determine which bridges are the strongest?
Bridges: the engineering behind Suspension and Arch bridges,13,"4,5",34,,<p>What are the engineering and mathematical principles applied to the design and construction of suspension and arch bridges?</p>,"<p>By the end of this lesson, students will:</p><ul><li class=""ql-indent-1"">have an understanding of the mathematical and engineering principles behind the construction of suspension and arch bridges</li><li class=""ql-indent-1"">be knowledgeable about the process through which both suspension and arch bridges are designed and built. (Images of the progression if building these types of bridges would be good to use in meeting this objective.)</li><li class=""ql-indent-1"">be introduced to some of the risks and potential errors that have or can&nbsp;been made in the construction of these type of bridges</li><li class=""ql-indent-1"">understand the meaning of torsion, tension and compression and how these concepts impact the construction of suspension an arch bridges</li><li class=""ql-indent-1"">have seen visual images of some of the great suspension or engineering bridges in the world&nbsp;</li></ul>",,bridges-the-engineering.jpg,bridges-the-engineering.jpg,What are the engineering and mathematical principles applied to the design and construction of suspension and arch bridges?
"Business Book  Discussion:  Marketing - ""Buyology: Truth and Lies About Why We Buy"": Martin Lindstrom",,"4,5",9,23,<p>Lead a group of students in a discussion of the book/media and insights gained from it about business. Conducted via Teleconference or in person</p>,"<p>By the end of this lesson, students will:</p><ul><li>recognize at least three key takeaways from the book/media they read</li><li>see how the book/media relates to the real world experience of the executive leading the discussion</li><li>be able to present a summary of their findings to fellow classmates</li></ul><p><br></p><p>This would be a twenty to thirty minute time commitment either in person or by telephone</p>",,business-book-buyology.jpg,business-book-buyology.jpg,Lead a group of students in a discussion of the book/media and insights gained from it about business. Conducted via Teleconference or in person
Business Model Canvas Overview,"4,14",,23,,<p>This Lesson provides an overview of Osterwalder &amp; Pigneur's Business Model Canvas</p>,"<p>By the end of this lesson, students will be able to:</p><ul><li>recognize the components of the Business Model Canvas</li><li>understand the purpose of using the Business Model Canvas to develop and assess a new business idea</li><li>see an example of a completed Business Model Canvas for an existing business</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.youtube.com/watch?v=wwShFsSFb-Y&amp;feature=youtu.be"" target=""_blank"">Lesson Topic Resource 1</a></p><p><a href=""https://www.strategyzer.com/"" target=""_blank"">Lesson Topic Resource 2</a></p><p><a href=""https://www.cleverism.com/lexicon/business-model-canvas/"" target=""_blank"">Lesson Topic Resource 3</a></p>",,business-model-canvas.jpg,business-model-canvas.jpg,This Lesson provides an overview of Osterwalder & Pigneur's Business Model Canvas
Business Model Canvas: Cost Structure,4,"4,5",23,9,<p>What are the costs associated with operating my business model? What is the difference between fixed and variable costs? Which are most important? Which resources and activities are most expensive?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>define what cost structure is</li><li>define and provide examples of fixed and variable cost</li><li>understand the concept of economies of scale: how they are created and their&nbsp;impact on cost per unit</li><li>describe economies of scope and provide an example of a company that provides economies of scope&nbsp;</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of&nbsp;</a><a href=""https://www.cleverism.com/cost-structure-block-in-business-model-canvas/"" target=""_blank"">Cost Structure</a></p><p><a href=""https://www.youtube.com/watch?v=f_HEz1ET1JE&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW&amp;index=30"" target=""_blank"">Cost Structure&nbsp;Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,cost-structure.jpeg,cost-structure.jpeg,What are the costs associated with operating my business model? What is  the difference between fixed and variable costs? Which are most important? Which resources and activities are most expensive?
Business Model Canvas: Customer Channels,4,"4,5",23,"4,9",<p>Channels describe how a company communicates with and reaches its customer segments to deliver a Value Proposition and ultimately its product or service. Through which channels do our customer segments want to be reached? How do the channels we use vary depending upon the nature of our business?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>Define what a channel is</li><li>Recognize and define the 5 channel phases: awareness, evaluation, purchase, delivery, after sales.</li><li>Describe advantages and disadvantages of using partner channels or owned channels</li><li>Provide examples of partner and owned channels</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of Customer Channels</a></p><p><a href=""https://www.youtube.com/watch?v=nezvK969xac&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW&amp;index=24"" target=""_blank"">Customer Channel Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,customer-channel.jpg,customer-channel.jpg,Channels describe how a company communicates with and reaches its customer segments to deliver a Value Proposition and ultimately its product or service. Through which channels do our customer segments want to be reached? How do the channels we use vary depending upon the nature of our business?
Business Model Canvas: Customer Relationships,"4,14","4,5",23,"4,9",<p>How does a business create and develop relationships with its customers and what are the different types of relationships a business might have with its customers?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>Define what a customer relationship is</li><li>Define the 3 main motivations of customer relationships: customer acquisition, customer retention, boosting sales (upselling)</li><li>Distinguish between differing categories of customer relationships such as personal assistance, self service, automated services, communities, co-creation and provide examples of each</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of Customer&nbsp;</a><a href=""https://www.cleverism.com/customer-relationship-block-in-business-model-canvas/"" target=""_blank"">Relationships</a></p><p><a href=""https://www.youtube.com/watch?v=emEyD7vOSeI&amp;index=25&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW"" target=""_blank"">Customer Relationship Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,customer-relationships.jpeg,customer-relationships.jpeg,How does a business create and develop relationships with its customers and what are the different types of relationships a business might have with its customers?
Business Model Canvas: Customer Segments,"4,14","4,5",23,"4,9",<p>What is a customer segment for a business and why do businesses need to think about customer segments? Who are our most important customers and how do we focus on meeting their specific needs?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>Define what a customer segment is</li><li>Understand why it is important for a business to segment its customer base</li><li>Comprehend the criteria used to separate customer segments</li><li>Identify&nbsp;types of major customer segmentation such as Mass Market,Niche Market, Segmented, Diversified, Multi-sided platforms or markets</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/customer-segments-business-model-canvas/"" target=""_blank"">What are customer segments and how do you determine what your primary customer segments are?&nbsp;</a></p><p><a href=""https://www.youtube.com/watch?v=Q7_HU07fINo&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW&amp;index=23"" target=""_blank"">Customer Segment Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a>nn<a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,customer-segments.jpeg,customer-segments.jpeg,What is a customer segment for a business and why do businesses need to think about customer segments? Who are our most important customers and how do we focus on meeting their specific needs?
Business Model Canvas: Key Activities,"4,14","4,5",23,"9,38","<p>What is the most important activities our company must excel at in order to make the business model work? (production, problem solving, platform networking) What key activities do our value proposition require?</p>","<p>By the end of this lesson, students be able to:</p><ul><li>define what key activities are for differing types of businesses&nbsp;</li><li>comprehend how key activities relate to the&nbsp;value proposition</li><li>define and explain the 3 main categories of activities: production, problem solving and platform networking</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">O</a><a href=""https://www.cleverism.com/key-activities-block-business-model-canvas/"" target=""_blank"">verview of Key Activities</a></p><p><a href=""https://www.youtube.com/watch?v=V7vr3JSx-yY&amp;index=29&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW"" target=""_blank"">Key Activities&nbsp;Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,business-key-activites.jpeg,business-key-activites.jpeg,"What is the most important activities our company must excel at in order to make the business model work? (production, problem solving, platform networking) What key activities do our value proposition require?"
Business Model Canvas: Key Partnerships,4,"4,5",23,"4,9","<p>What are the network of suppliers and partners that make your business model work? What are the motivations for creating partnerships? (optimization and economies of scale, reduction of risk and uncertainty, acquisition of particular resources and activities). When do you partner up for a business activity and when do it in-house?</p>","<p>By the end of this lesson, students be able to:</p><ul><li>define what key partners are for a business and provide examples of them from existing businesses</li><li>distinguish between and recognize examples of the 4 different types of partnerships: strategic alliances, coopetition, joint ventures, buyer/supplier</li><li>describe the major motivations for creating partnerships such as:optimization and economies of scale</li><li>reduction of risk and uncertainty</li><li>acquisition of resources and activities</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of&nbsp;</a><a href=""https://www.cleverism.com/key-resources-building-block-in-business-model-canvas/"" target=""_blank"">Key&nbsp;</a><a href=""https://www.cleverism.com/key-partners-in-business-model-canvas/"" target=""_blank"">Partnerships</a></p><p><a href=""https://www.youtube.com/watch?v=6vVGxUFcwsQ&amp;index=28&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW"" target=""_blank"">Key&nbsp;Partnerships Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,key-partnerships.jpeg,key-partnerships.jpeg,"What are the network of suppliers and partners that make your business model work? What are the motivations for creating partnerships? (optimization and economies of scale, reduction of risk and uncertainty, acquisition of particular resources and activities). When do you partner up for a business activity and when do it in-house?"
Business Model Canvas: Key Resources,4,"4,5",23,"4,9",<p>What are the key resources I need to access in order for my business to succeed?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>define what key resources are for a business&nbsp;</li><li>define and provide examples of the four main categories of resources: physical, intellectual, human and financial&nbsp;</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of&nbsp;</a><a href=""https://www.cleverism.com/key-resources-building-block-in-business-model-canvas/"" target=""_blank"">Key Resources</a></p><p><a href=""https://www.youtube.com/watch?v=pLdWfcLNZ1A&amp;index=27&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW"" target=""_blank"">Key&nbsp;Resources&nbsp;Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,key-resources.jpeg,key-resources.jpeg,What are the key resources I need to access in order for my business to succeed?
Business Model Canvas: Revenue Streams,,,23,,<p>How does a business generate revenue from each customer segment. What are the pricing mechanisms used for the product or service to create this revenue?</p>,"<p>By the end of this lesson, students be able to:</p><ul><li>Define what a revenue stream is (i.e. price * units sold/service provided)</li><li>Understand difference between transaction revenues and recurring revenues</li><li>Define and provide examples of different ways in which revenue streams are generated such as asset sale, usage fee, subscription fee, lending / renting / leasing, licensing, brokerage fees and advertising</li><li>Define and provide the characteristics and examples of the two main pricing mechanisms: Fixed menu and dynamic</li></ul><p><br></p><p><strong>Resources to help plan your instruction:</strong></p><p><a href=""https://www.cleverism.com/selecting-managing-channels-business-model-canvas/"" target=""_blank"">Overview of </a><a href=""https://www.cleverism.com/revenue-streams-in-business-model-canvas/"" target=""_blank"">Revenue Streams</a></p><p><a href=""https://www.youtube.com/watch?v=i2frxfkIsFA&amp;list=PLAwxTw4SYaPnxzSuovATBMrNowGaaEBmW&amp;index=26"" target=""_blank"">Revenue Streams Video</a></p><p><a href=""https://www.youtube.com/watch?v=QoAOzMTLP5s"" target=""_blank"">Video&nbsp;Overview of Business Model Canvas</a></p><p><a href=""https://www.cleverism.com/business-model-canvas-complete-guide/"" target=""_blank"">Written Overview of Business Model Canvas</a></p>",,revenue-streams.jpeg,revenue-streams.jpeg,How does a business generate revenue from each customer segment. What are the pricing mechanisms used  for the product or service to create this revenue?
