id,company_id,"title","description","link_to_website"
1323,30,"Career Pathways Flyer - Arts, A/V, Visual, Technology, Communications",NULL,NULL
1324,30,"Career Pathways Flyer - Business",NULL,NULL
1325,30,"Career Pathways Flyer - Education",NULL,NULL
1326,30,"Career Pathways Flyer - Construction",NULL,"http://"
1327,30,"Career Pathways Flyer - Government, Public Administration",NULL,NULL
1328,30,"Career Pathways Flyer - Healthcare",NULL,NULL
1329,30,"Career Pathways Flyer - Hospitality",NULL,NULL
1330,30,"Career Pathways Flyer - Human Services",NULL,NULL
1331,30,"Career Pathways Flyer - Information Technology",NULL,NULL
1332,30,"Career Pathways Flyer - Law",NULL,NULL
1333,30,"Career Pathways Flyer - Manufacturing",NULL,NULL
1334,30,"Career Pathways Flyer - Retail",NULL,NULL
1335,30,"Career Pathways Flyer - Transportation",NULL,NULL
1336,234,"ATCC Viewbook",NULL,"https://www.alextech.edu/docs/viewbook"
1337,234,"Fast Facts",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/atcc-fast-facts-sheet-2020.pdf?sfvrsn=387bd6be_4"
1338,234,"Art & Design Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/artdes2020_6-5x6-5.pdf?sfvrsn=ded28db3_5"
1339,234,"Business & Information Technology Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/busdiv2020_6-5x6-5.pdf?sfvrsn=f26b3506_5"
1340,234,"Health & Education Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/healthdiv2020_6-5x6-5.pdf?sfvrsn=efffccd0_5"
1341,234,"Law Enforcement Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/lawenfdiv2020_6-5x6-5.pdf?sfvrsn=76c04274_5"
1342,234,"Liberal Arts & Sciences Transfer Pathways Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/libtransfdiv2020_6-5x6-5.pdf?sfvrsn=9d7e9247_5"
1343,234,"Manufacturing & Construction Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/manufdiv2020_6-5x6-5.pdf?sfvrsn=acc4addd_5"
1349,234,"Transportation & Mechanics Division Brochure",NULL,"https://www.alextech.edu/docs/default-source/publications/admissions-resources/transpdiv2020_6-5x6-5.pdf?sfvrsn=8b07cd6a_5"
1350,237,"Webinar Archive ","Explore the archived webinars hosted by Saint Mary's University.","https://www.smumn.edu/admission/undergraduate/webinar-archive"
1351,237,"Information for First-Year Students ","Get information on the application process and learn more about Saint Mary's.","https://www.smumn.edu/admission/undergraduate/freshman-students"
1380,233,"Study Abroad - Alnwick, England ","St. Cloud State at Alnwick offers one of the most unique education abroad opportunities where students get to live and take classes inside of a castle. St. Cloud State at Alnwick is located in Alnwick Castle, one of Britain’s most iconic castles and a top filming location for many famous films and TV series. This program offers students the unique opportunity to fully immerse themselves in British culture, while living and studying in a welcoming community that St. Cloud State University has been a part of since 1976. Come and join the large network of Alumni and spend time abroad in Alnwick!",NULL
1381,217,"How do I set up a tour? ","NDSU offers daily visits during most weekdays, and has frequent weekend visit options. The best way to determine if a college is the right fit for you is to tour the campus, so view the link if you're looking to set up a tour! If you're having trouble, please email us at ndsu.admission@ndsu.edu or call 1-800-488-NDSU or 701-231-8643.","https://www.ndsu.edu/visit"
1382,217,"Who is my counselor?","Our team of admission counselors are here to assist you with your questions regarding the admission application, general questions about NDSU, or the college search process in general. View the link to find more information on specific counselors, their contact information, and even set up a virtual appointment. ","https://www.ndsu.edu/admission/meet_our_staff"
1383,217,"What can I major in?","NDSU has 100 different majors, as well as numerous minors, options, and certificates. As a Top 100 Research University, NDSU offers rigorous areas of study throughout it's 7 Academic Colleges. To get a full look at what programs NDSU has to study, please view the list of our majors.","https://www.ndsu.edu/majors/"
1395,240,"Finishing Trades Institute Website",NULL,"https://www.ftium.edu/"
1445,242,"Academics at Viterbo University ","Check out our undergraduate & graduate degrees ","https://www.viterbo.edu/academics"
1446,242,"Admissions & Aid","Find our application & more information on admission requirements ","https://www.viterbo.edu/node/22366"
1447,242,"Schedule a Visit","Come tour Viterbo University, meet with admission staff and see beautiful La Crosse, Wisconsin!","https://www.viterbo.edu/calendar-field_startdate/month"
1448,242,"Apply","Apply to become a V-Hawk!","https://www.viterbo.edu/admissions-and-aid/apply-online "
1449,242,"Financial Aid","How to best afford a private education including scholarships!","http://www.viterbo.edu/affordable"
1450,242,"Athletics","Learn about what athletics we offer at Viterbo and how to be recruited by a coach!","http://www.viterboathletics.com/"
1451,242,"Contact US","Get in touch with an admissions counselor","https://www.viterbo.edu/freshman-admissions/meet-admissions-team"
1476,238,"High School Planning Checklists"," One page checklists for grades 9-12 to prepare for college.","https://drive.google.com/file/d/1kk-u3KijQqL606s2ZGJOxdPv9vGaNuTz/view?usp=sharing"
1477,238,"FSA ID Worksheet ","Here is a helpful worksheet to help remember FSA ID information. Students and families will need to set up an FSA ID to complete the FAFSA.","https://drive.google.com/open?id=17M5QXjj5BcYywks5So56aPTddrtS1rxd"
1478,238,"Writing Application Essays ","Includes helpful tips and sample prompts for college and scholarship application essays.","https://drive.google.com/file/d/1zKpETIpWTci9cuKv8ps7y_Bc6Ah1uaHC/view?usp=sharing"
1479,238,"College Planning Workbook","This complete workbook was created in Google Sheets so it is easy for you to gather and organize all the information you will need to submit your college and scholarship applications.","https://docs.google.com/spreadsheets/d/1XHQEewIo3m05RUeyBZAYhg8v3H7Sl9v1-g1-UrzWQ2g/copy"
1480,238,"College Planning Workbook (en Español) ","This complete workbook was created in Google Sheets so it is easy for you to gather and organize all the information you will need to submit your college and scholarship applications.","https://docs.google.com/spreadsheets/d/1023f-qThbPapx3tapJYdIap3Y7b8NOsldLV5yFF_m3U/copy"
1481,238,"Comparing Colleges Worksheet ","Students can use this worksheet to research and compare colleges. ","https://drive.google.com/file/d/1izQBChmg9xVzTcjD5gRCZ6mNPFRSQYKv/view?usp=sharing"
1482,238,"Comparing College Costs and Financial Aid Worksheet ","This worksheet outlines college costs and compares financial aid packages. ","https://drive.google.com/file/d/1CCwjm2ObsR7egzjUKm0H6jC8SvLXdwAF/view?usp=sharing"
1483,238,"College and Scholarship Application Organizer ","Help students stay on top of important college and scholarship application requirements and deadlines with this organizer!","http://https://drive.google.com/open?id=1jMlDSJ-Ot9cK8sjdgyLw5EoJwQ1ZbyHV"
1484,238,"2021-2022 FAFSA & Dream Act Worksheet ","This worksheet is designed to help Minnesota FAFSA or Dream Act filers prepare to submit their online applications. Use this worksheet to gather the information needed to complete these applications and determine dependency status.","https://drive.google.com/file/d/1MJkPg49o4pV69LHAP_xHBwWN7UGnXIhS/view?usp=sharing"
1485,238,"Am I Dependent or Independent?","A worksheet to help students determine their dependency status when filling out the FAFSA. Please note: this form can also be used to determine dependency status for the Minnesota Dream Act application.","http://www.google.com/url?q=http%3A%2F%2Fstudentaid.ed.gov%2Fsites%2Fdefault%2Ffiles%2Ffafsa-dependency.pdf%3F_ga%3D2.214296471.1004182019.1538415531-1416928600.1537217835&sa=D&sntz=1&usg=AFQjCNH5ehN9prZ22kAGo97OxwBv0cUF5A"
1486,238,"Am I Dependent or Independent? (en Español) ","A worksheet to help students determine their dependency status when filling out the FAFSA. Please note: this form can also be used to determine dependency status for the Minnesota Dream Act application.","http://www.google.com/url?q=http%3A%2F%2Fstudentaid.ed.gov%2Fsites%2Fdefault%2Ffiles%2Ffafsa-dependency-spanish.pdf%3F_ga%3D2.252194313.1004182019.1538415531-1416928600.1537217835&sa=D&sntz=1&usg=AFQjCNELv2TXsAtFKspWzKdAQrpQdXalSA"
1487,238,"Creating and Using the FSA ID ","An explanation of what the FSA ID is, how you get one, and what you use it for. Includes top tips for using an FSA ID. Copy onto the back of the FSA ID Worksheet (above)!","https://www.google.com/url?q=https%3A%2F%2Fstudentaid.ed.gov%2Fsa%2Fsites%2Fdefault%2Ffiles%2Fcreating-using-fsaid.pdf%3F_ga%3D2.171369248.1004182019.1538415531-1416928600.1537217835&sa=D&sntz=1&usg=AFQjCNHywvZD4uDDJbgZv6uQZvJRoiPGNA"
1488,238,"Creating and Using the FSA ID ","An explanation of what the FSA ID is, how you get one, and what you use it for. Includes top tips for using an FSA ID. Copy onto the back of the FSA ID Worksheet","https://www.google.com/url?q=https%3A%2F%2Fstudentaid.ed.gov%2Fsa%2Fsites%2Fdefault%2Ffiles%2Fcreating-using-fsaid.pdf%3F_ga%3D2.171369248.1004182019.1538415531-1416928600.1537217835&sa=D&sntz=1&usg=AFQjCNHywvZD4uDDJbgZv6uQZvJRoiPGNA"
1489,238,"Creating and Using the FSA ID","An explanation of what the FSA ID is, how you get one, and what you use it for. Includes top tips for using an FSA ID. Copy onto the back of the FSA ID Worksheet","https://www.google.com/url?q=https%3A%2F%2Fstudentaid.ed.gov%2Fsa%2Fsites%2Fdefault%2Ffiles%2Fcreating-using-fsaid-spanish.pdf%3F_ga%3D2.252194313.1004182019.1538415531-1416928600.1537217835&sa=D&sntz=1&usg=AFQjCNGFEV4n2v_Cyx_-5WRLrY2hXxR93w"
1515,248,"City Website","City Website","http://byronmn.com"
1538,253,"LAB Midwest Overview","A Brief Description of what we do at LAB Midwest",NULL
1559,251,"Career Page",NULL,"https://www.knobelsdorffenterprises.com/careers"
1560,251,"Trades Infographic",NULL,NULL
